cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,3114297,0,53,53
8,performance,3400000,3400000,3130170,0,53,53
9,performance,3400000,3400000,3122994,0,53,53
10,performance,3400000,3400000,3110317,0,53,53
11,performance,3400000,3400000,3114398,0,53,53
12,performance,3400000,3400000,3367504,0,53,53
13,performance,3400000,3400000,3136718,0,53,53
14,performance,3400000,3400000,3400000,0,53,53
15,performance,3400000,3400000,3112232,0,53,53
16,performance,3400000,3400000,3124580,0,53,53
17,performance,3400000,3400000,3168660,0,53,53
18,performance,3400000,3400000,3146591,0,53,53
19,performance,3400000,3400000,3128096,0,53,53
20,performance,3400000,3400000,3116461,0,53,53
21,performance,3400000,3400000,3400000,0,53,53
22,performance,3400000,3400000,3111977,0,53,53
23,performance,3400000,3400000,3111693,0,53,53
24,performance,3400000,3400000,3127613,0,53,53
25,performance,3400000,3400000,3153545,0,53,53
26,performance,3400000,3400000,3133589,0,53,53
27,performance,3400000,3400000,3400000,0,53,53
28,performance,3400000,3400000,3400000,0,53,53
29,performance,3400000,3400000,3122316,0,53,53
30,performance,3400000,3400000,3400000,0,53,53
31,performance,3400000,3400000,3155792,0,53,53
32,performance,3400000,3400000,3111474,0,53,53
33,performance,3400000,3400000,3132241,0,53,53
34,performance,3400000,3400000,3157238,0,53,53
35,performance,3400000,3400000,3362486,0,53,53
36,performance,3400000,3400000,3400000,0,53,53
37,performance,3400000,3400000,3400000,0,53,53
38,performance,3400000,3400000,3127787,0,53,53
39,performance,3400000,3400000,3105417,0,53,53
48,performance,3400000,3400000,3133530,0,53,53
49,performance,3400000,3400000,3179228,0,53,53
50,performance,3400000,3400000,3400000,0,53,53
51,performance,3400000,3400000,3400000,0,53,53
52,performance,3400000,3400000,3400000,0,53,53
53,performance,3400000,3400000,3400000,0,53,53
54,performance,3400000,3400000,3181695,0,53,53
55,performance,3400000,3400000,3172156,0,53,53
56,performance,3400000,3400000,3400000,0,53,53
57,performance,3400000,3400000,3174852,0,53,53
58,performance,3400000,3400000,3141637,0,53,53
59,performance,3400000,3400000,3400000,0,53,53
60,performance,3400000,3400000,3400000,0,53,53
61,performance,3400000,3400000,3400000,0,53,53
62,performance,3400000,3400000,3400000,0,53,53
63,performance,3400000,3400000,3400000,0,53,53
64,performance,3400000,3400000,3400000,0,53,53
65,performance,3400000,3400000,3400000,0,53,53
66,performance,3400000,3400000,3400000,0,53,53
67,performance,3400000,3400000,3400000,0,53,53
68,performance,3400000,3400000,3400000,0,53,53
69,performance,3400000,3400000,3400000,0,53,53
70,performance,3400000,3400000,3400000,0,53,53
71,performance,3400000,3400000,3400000,0,53,53
72,performance,3400000,3400000,3400000,0,53,53
73,performance,3400000,3400000,3400000,0,53,53
74,performance,3400000,3400000,3400000,0,53,53
75,performance,3400000,3400000,3175183,0,53,53
76,performance,3400000,3400000,3181266,0,53,53
77,performance,3400000,3400000,3137835,0,53,53
78,performance,3400000,3400000,3211895,0,53,53
79,performance,3400000,3400000,3173902,0,53,53
