rep,label,status,completed_qps,completed_responses,sent_qps,sent_queries,avg_ms,p95_ms,instructions,cycles,l2i_misses,l2i_mpki,ipc,context_switches,cpu_migrations,service_threads,service_affinity_ok,driver_threads,driver_affinity_ok,pinner_errors
1,seed2_base,ok,0.2,60,0.2,60,39526.575,68905.348,386559210937.0,1187039000211.0,3164726671.0,8.186913107901018,0.3256499667393303,2317.0,0.0,11,1,5,1,0
1,seed2_d16_target_next,ok,0.20666666666666667,62,0.20666666666666667,62,39755.023,95219.278,481396286485.0,1175919185522.0,803958595.0,1.6700556642641464,0.4093787161668804,2208.0,0.0,11,1,5,1,0
1,seed2_d64_target,ok,0.20666666666666667,62,0.20666666666666667,62,38669.345,95219.278,469033720432.0,1175641503889.0,1492767653.0,3.182644632938326,0.39895981800612285,2228.0,0.0,11,1,5,1,0
2,seed2_d64_target,ok,0.20333333333333334,61,0.20333333333333334,61,37894.909,96072.914,468781044799.0,1176044657094.0,1488485867.0,3.1752262245121714,0.3986082007781536,2301.0,0.0,11,1,5,1,0
2,seed2_d16_target_next,ok,0.21333333333333335,64,0.21333333333333335,64,38077.122,104485.115,481581811923.0,1175481752901.0,792912080.0,1.646474306896745,0.4096888877555883,2255.0,0.0,11,1,5,1,0
2,seed2_base,ok,0.19666666666666666,59,0.19666666666666666,59,40208.181,67898.27,389348063284.0,1189729078486.0,3122690904.0,8.020306760129516,0.32725775163827064,2431.0,0.0,11,1,5,1,0
3,seed2_base,ok,0.2,60,0.2,60,41142.71,68375.307,384856451981.0,1180545171233.0,3075633158.0,7.991637251158364,0.3259989209722855,2235.0,0.0,11,1,5,1,0
3,seed2_d16_target_next,ok,0.22,66,0.22,66,37612.04,72344.255,481672620118.0,1176424023262.0,878423309.0,1.8236936714086098,0.40943793274674334,2224.0,0.0,11,1,5,1,0
3,seed2_d64_target,ok,0.20333333333333334,61,0.20333333333333334,61,38195.774,92700.697,468906040789.0,1176645664178.0,1520723490.0,3.2431305159583146,0.3985108304602269,2255.0,0.0,11,1,5,1,0
