cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,3400000,0,53,53
1,performance,3400000,3400000,3400000,0,53,53
2,performance,3400000,3400000,3400000,0,53,53
3,performance,3400000,3400000,3400000,0,53,53
4,performance,3400000,3400000,3400000,0,53,53
5,performance,3400000,3400000,3384769,0,53,53
6,performance,3400000,3400000,3136731,0,53,53
7,performance,3400000,3400000,3119373,0,53,53
8,performance,3400000,3400000,2933529,0,53,53
9,performance,3400000,3400000,3400000,0,53,53
10,performance,3400000,3400000,3094444,0,53,53
11,performance,3400000,3400000,3111300,0,53,53
12,performance,3400000,3400000,3159571,0,53,53
13,performance,3400000,3400000,3153161,0,53,53
14,performance,3400000,3400000,3103133,0,53,53
15,performance,3400000,3400000,2704949,0,53,53
16,performance,3400000,3400000,3126283,0,53,53
17,performance,3400000,3400000,3155008,0,53,53
18,performance,3400000,3400000,3122074,0,53,53
19,performance,3400000,3400000,3141637,0,53,53
20,performance,3400000,3400000,3104188,0,53,53
21,performance,3400000,3400000,3111865,0,53,53
22,performance,3400000,3400000,3126705,0,53,53
23,performance,3400000,3400000,3400000,0,53,53
24,performance,3400000,3400000,3122641,0,53,53
25,performance,3400000,3400000,3319138,0,53,53
26,performance,3400000,3400000,3131450,0,53,53
27,performance,3400000,3400000,3099559,0,53,53
28,performance,3400000,3400000,3125234,0,53,53
29,performance,3400000,3400000,3123121,0,53,53
30,performance,3400000,3400000,3130234,0,53,53
31,performance,3400000,3400000,3123993,0,53,53
32,performance,3400000,3400000,3400000,0,53,53
33,performance,3400000,3400000,3400000,0,53,53
34,performance,3400000,3400000,3118318,0,53,53
35,performance,3400000,3400000,3154803,0,53,53
36,performance,3400000,3400000,3135866,0,53,53
37,performance,3400000,3400000,3122440,0,53,53
38,performance,3400000,3400000,3132448,0,53,53
39,performance,3400000,3400000,3400000,0,53,53
40,performance,3400000,3400000,3174642,0,53,53
41,performance,3400000,3400000,3147607,0,53,53
42,performance,3400000,3400000,3141619,0,53,53
43,performance,3400000,3400000,3185467,0,53,53
44,performance,3400000,3400000,3166904,0,53,53
45,performance,3400000,3400000,3400000,0,53,53
46,performance,3400000,3400000,3173632,0,53,53
47,performance,3400000,3400000,3188898,0,53,53
48,performance,3400000,3400000,3161544,0,53,53
49,performance,3400000,3400000,3177879,0,53,53
50,performance,3400000,3400000,3176536,0,53,53
51,performance,3400000,3400000,3400000,0,53,53
52,performance,3400000,3400000,3400000,0,53,53
53,performance,3400000,3400000,3170963,0,53,53
54,performance,3400000,3400000,3400000,0,53,53
55,performance,3400000,3400000,3400000,0,53,53
56,performance,3400000,3400000,3191035,0,53,53
57,performance,3400000,3400000,3187686,0,53,53
58,performance,3400000,3400000,3400000,0,53,53
59,performance,3400000,3400000,3297723,0,53,53
60,performance,3400000,3400000,3168461,0,53,53
61,performance,3400000,3400000,3400000,0,53,53
62,performance,3400000,3400000,3400000,0,53,53
63,performance,3400000,3400000,3400000,0,53,53
64,performance,3400000,3400000,3161430,0,53,53
65,performance,3400000,3400000,3199606,0,53,53
66,performance,3400000,3400000,3168236,0,53,53
67,performance,3400000,3400000,3173220,0,53,53
68,performance,3400000,3400000,3400000,0,53,53
69,performance,3400000,3400000,3167391,0,53,53
70,performance,3400000,3400000,3156374,0,53,53
71,performance,3400000,3400000,3400000,0,53,53
72,performance,3400000,3400000,3161236,0,53,53
73,performance,3400000,3400000,3400000,0,53,53
74,performance,3400000,3400000,3176688,0,53,53
75,performance,3400000,3400000,3400000,0,53,53
76,performance,3400000,3400000,3400000,0,53,53
77,performance,3400000,3400000,3248490,0,53,53
78,performance,3400000,3400000,3385432,0,53,53
79,performance,3400000,3400000,3077290,0,53,53
80,performance,3400000,3400000,3143284,0,53,53
81,performance,3400000,3400000,3400000,0,53,53
82,performance,3400000,3400000,3400000,0,53,53
83,performance,3400000,3400000,3400000,0,53,53
84,performance,3400000,3400000,3159513,0,53,53
85,performance,3400000,3400000,3400000,0,53,53
