cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,3358497,0,53,53
1,performance,3400000,3400000,3137410,0,53,53
2,performance,3400000,3400000,3119651,0,53,53
3,performance,3400000,3400000,3048069,0,53,53
4,performance,3400000,3400000,1254100,0,53,53
5,performance,3400000,3400000,3149959,0,53,53
6,performance,3400000,3400000,3148384,0,53,53
7,performance,3400000,3400000,3123907,0,53,53
8,performance,3400000,3400000,3162361,0,53,53
9,performance,3400000,3400000,3150188,0,53,53
10,performance,3400000,3400000,3400000,0,53,53
11,performance,3400000,3400000,3400000,0,53,53
12,performance,3400000,3400000,3119946,0,53,53
13,performance,3400000,3400000,3135664,0,53,53
14,performance,3400000,3400000,3293239,0,53,53
15,performance,3400000,3400000,3099001,0,53,53
16,performance,3400000,3400000,3105744,0,53,53
17,performance,3400000,3400000,3400000,0,53,53
18,performance,3400000,3400000,3400000,0,53,53
19,performance,3400000,3400000,3400000,0,53,53
20,performance,3400000,3400000,3400000,0,53,53
21,performance,3400000,3400000,3115993,0,53,53
22,performance,3400000,3400000,3034288,0,53,53
23,performance,3400000,3400000,3058853,0,53,53
24,performance,3400000,3400000,3057695,0,53,53
25,performance,3400000,3400000,3202265,0,53,53
26,performance,3400000,3400000,3220240,0,53,53
27,performance,3400000,3400000,2803017,0,53,53
28,performance,3400000,3400000,2880099,0,53,53
29,performance,3400000,3400000,2882524,0,53,53
30,performance,3400000,3400000,2880580,0,53,53
31,performance,3400000,3400000,2874513,0,53,53
32,performance,3400000,3400000,3073702,0,53,53
33,performance,3400000,3400000,3069625,0,53,53
34,performance,3400000,3400000,3075127,0,53,53
35,performance,3400000,3400000,3087175,0,53,53
36,performance,3400000,3400000,3066369,0,53,53
37,performance,3400000,3400000,3069170,0,53,53
38,performance,3400000,3400000,2877804,0,53,53
39,performance,3400000,3400000,3070837,0,53,53
40,performance,3400000,3400000,2876872,0,53,53
41,performance,3400000,3400000,2882930,0,53,53
42,performance,3400000,3400000,3079337,0,53,53
43,performance,3400000,3400000,3007863,0,53,53
44,performance,3400000,3400000,3076534,0,53,53
45,performance,3400000,3400000,3172558,0,53,53
46,performance,3400000,3400000,3234497,0,53,53
47,performance,3400000,3400000,3212909,0,53,53
48,performance,3400000,3400000,2968642,0,53,53
49,performance,3400000,3400000,3169389,0,53,53
50,performance,3400000,3400000,3247786,0,53,53
51,performance,3400000,3400000,3400000,0,53,53
52,performance,3400000,3400000,3075628,0,53,53
53,performance,3400000,3400000,3073229,0,53,53
54,performance,3400000,3400000,2873455,0,53,53
55,performance,3400000,3400000,2973555,0,53,53
56,performance,3400000,3400000,3071031,0,53,53
57,performance,3400000,3400000,2882552,0,53,53
58,performance,3400000,3400000,2877506,0,53,53
59,performance,3400000,3400000,3133885,0,53,53
60,performance,3400000,3400000,3078620,0,53,53
61,performance,3400000,3400000,3088619,0,53,53
62,performance,3400000,3400000,3083636,0,53,53
63,performance,3400000,3400000,3073229,0,53,53
64,performance,3400000,3400000,3084251,0,53,53
65,performance,3400000,3400000,3071607,0,53,53
66,performance,3400000,3400000,3086860,0,53,53
67,performance,3400000,3400000,3076884,0,53,53
68,performance,3400000,3400000,2943206,0,53,53
69,performance,3400000,3400000,3366715,0,53,53
70,performance,3400000,3400000,2968929,0,53,53
71,performance,3400000,3400000,2010871,0,53,53
72,performance,3400000,3400000,3059038,0,53,53
73,performance,3400000,3400000,3135753,0,53,53
74,performance,3400000,3400000,3263301,0,53,53
75,performance,3400000,3400000,3057271,0,53,53
76,performance,3400000,3400000,3254293,0,53,53
77,performance,3400000,3400000,3125322,0,53,53
78,performance,3400000,3400000,3255700,0,53,53
79,performance,3400000,3400000,3248045,0,53,53
80,performance,3400000,3400000,3150382,0,53,53
81,performance,3400000,3400000,3400000,0,53,53
82,performance,3400000,3400000,3223425,0,53,53
83,performance,3400000,3400000,3169920,0,53,53
84,performance,3400000,3400000,3151576,0,53,53
85,performance,3400000,3400000,3161350,0,53,53
