cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,2140122,0,53,53
1,performance,3400000,3400000,3150379,0,53,53
2,performance,3400000,3400000,3138918,0,53,53
3,performance,3400000,3400000,3112521,0,53,53
4,performance,3400000,3400000,3091450,0,53,53
5,performance,3400000,3400000,3174812,0,53,53
6,performance,3400000,3400000,3152795,0,53,53
7,performance,3400000,3400000,3147894,0,53,53
8,performance,3400000,3400000,3167699,0,53,53
9,performance,3400000,3400000,3099081,0,53,53
10,performance,3400000,3400000,3400000,0,53,53
11,performance,3400000,3400000,3361323,0,53,53
12,performance,3400000,3400000,3133360,0,53,53
13,performance,3400000,3400000,3132263,0,53,53
14,performance,3400000,3400000,3150758,0,53,53
15,performance,3400000,3400000,3096687,0,53,53
16,performance,3400000,3400000,3080690,0,53,53
17,performance,3400000,3400000,3139804,0,53,53
18,performance,3400000,3400000,3307347,0,53,53
19,performance,3400000,3400000,3400000,0,53,53
20,performance,3400000,3400000,3117383,0,53,53
21,performance,3400000,3400000,2645104,0,53,53
22,performance,3400000,3400000,3130958,0,53,53
23,performance,3400000,3400000,3140097,0,53,53
24,performance,3400000,3400000,3123958,0,53,53
25,performance,3400000,3400000,3128708,0,53,53
26,performance,3400000,3400000,3151170,0,53,53
27,performance,3400000,3400000,3110607,0,53,53
28,performance,3400000,3400000,3132858,0,53,53
29,performance,3400000,3400000,3144801,0,53,53
30,performance,3400000,3400000,3400000,0,53,53
31,performance,3400000,3400000,3117860,0,53,53
32,performance,3400000,3400000,3108050,0,53,53
33,performance,3400000,3400000,3400000,0,53,53
34,performance,3400000,3400000,3400000,0,53,53
35,performance,3400000,3400000,3138875,0,53,53
36,performance,3400000,3400000,3111025,0,53,53
37,performance,3400000,3400000,3400000,0,53,53
38,performance,3400000,3400000,3139800,0,53,53
39,performance,3400000,3400000,3136149,0,53,53
40,performance,3400000,3400000,3400000,0,53,53
41,performance,3400000,3400000,3150041,0,53,53
42,performance,3400000,3400000,3400000,0,53,53
43,performance,3400000,3400000,3400000,0,53,53
44,performance,3400000,3400000,3400000,0,53,53
45,performance,3400000,3400000,3400000,0,53,53
46,performance,3400000,3400000,3400000,0,53,53
47,performance,3400000,3400000,3400000,0,53,53
48,performance,3400000,3400000,3400000,0,53,53
49,performance,3400000,3400000,2400381,0,53,53
50,performance,3400000,3400000,3400000,0,53,53
51,performance,3400000,3400000,3380026,0,53,53
52,performance,3400000,3400000,3102064,0,53,53
53,performance,3400000,3400000,3168467,0,53,53
54,performance,3400000,3400000,3169373,0,53,53
55,performance,3400000,3400000,3400000,0,53,53
56,performance,3400000,3400000,3400000,0,53,53
57,performance,3400000,3400000,3193137,0,53,53
58,performance,3400000,3400000,3182068,0,53,53
59,performance,3400000,3400000,3291053,0,53,53
60,performance,3400000,3400000,3171562,0,53,53
61,performance,3400000,3400000,3157035,0,53,53
62,performance,3400000,3400000,3198905,0,53,53
63,performance,3400000,3400000,3400000,0,53,53
64,performance,3400000,3400000,3400000,0,53,53
65,performance,3400000,3400000,3186101,0,53,53
66,performance,3400000,3400000,3164969,0,53,53
67,performance,3400000,3400000,3183799,0,53,53
68,performance,3400000,3400000,3318013,0,53,53
69,performance,3400000,3400000,3153571,0,53,53
70,performance,3400000,3400000,3144514,0,53,53
71,performance,3400000,3400000,3166091,0,53,53
72,performance,3400000,3400000,3146661,0,53,53
73,performance,3400000,3400000,3177750,0,53,53
74,performance,3400000,3400000,3179125,0,53,53
75,performance,3400000,3400000,3400000,0,53,53
76,performance,3400000,3400000,3189661,0,53,53
77,performance,3400000,3400000,3145889,0,53,53
78,performance,3400000,3400000,3192916,0,53,53
79,performance,3400000,3400000,3153316,0,53,53
80,performance,3400000,3400000,3151522,0,53,53
81,performance,3400000,3400000,3333138,0,53,53
82,performance,3400000,3400000,3163750,0,53,53
83,performance,3400000,3400000,3165412,0,53,53
84,performance,3400000,3400000,3162859,0,53,53
85,performance,3400000,3400000,3400000,0,53,53
