1,seed2_base,ok,0.33,99,0.33,99,22911.533,51431.114,627604748254.0,1976292687701.0,3993253493.0,6.362688466123391,0.31756670060044895,2626.0,0.0,11,1,5,1,0
1,seed2_d16_target_next,ok,0.36333333333333334,109,0.36333333333333334,109,22719.914,50203.246,797739953129.0,1971382420272.0,1217536250.0,1.5262320073407631,0.4046601739600237,2600.0,0.0,11,1,5,1,0
2,seed2_base,ok,0.34,102,0.34,102,23879.845,41389.357,637056679447.0,1997042833004.0,3878037025.0,6.087428560306986,0.3190000078709999,2892.0,0.0,11,1,5,1,0
2,seed2_d16_target_next,ok,0.35333333333333333,106,0.35333333333333333,106,22498.904,38895.273,797028221797.0,1970739680730.0,1216258885.0,1.525992244362178,0.40443100100453927,2656.0,0.0,11,1,5,1,0
3,seed2_base,ok,0.34,102,0.34,102,24284.804,75037.924,627481722482.0,1977423593058.0,3968054952.0,6.323777744958663,0.31732286632204415,2566.0,0.0,11,1,5,1,0
3,seed2_d16_target_next,ok,0.33666666666666667,101,0.33666666666666667,101,22609.894,57559.84,797284447206.0,1970935282501.0,1196405991.0,1.5006011909459411,0.4045208659486238,2766.0,0.0,11,1,5,1,0
rep,label,status,completed_qps,completed_responses,sent_qps,sent_queries,avg_ms,p95_ms,instructions,cycles,l2i_misses,l2i_mpki,ipc,context_switches,cpu_migrations,service_threads,service_affinity_ok,driver_threads,driver_affinity_ok,pinner_errors
1,seed2_base,ok,0.33,99,0.33,99,22911.533,51431.114,627604748254.0,1976292687701.0,3993253493.0,6.362688466123391,0.31756670060044895,2626.0,0.0,11,1,5,1,0
1,seed2_d16_target_next,ok,0.36333333333333334,109,0.36333333333333334,109,22719.914,50203.246,797739953129.0,1971382420272.0,1217536250.0,1.5262320073407631,0.4046601739600237,2600.0,0.0,11,1,5,1,0
2,seed2_base,ok,0.34,102,0.34,102,23879.845,41389.357,637056679447.0,1997042833004.0,3878037025.0,6.087428560306986,0.3190000078709999,2892.0,0.0,11,1,5,1,0
2,seed2_d16_target_next,ok,0.35333333333333333,106,0.35333333333333333,106,22498.904,38895.273,797028221797.0,1970739680730.0,1216258885.0,1.525992244362178,0.40443100100453927,2656.0,0.0,11,1,5,1,0
3,seed2_base,ok,0.34,102,0.34,102,24284.804,75037.924,627481722482.0,1977423593058.0,3968054952.0,6.323777744958663,0.31732286632204415,2566.0,0.0,11,1,5,1,0
3,seed2_d16_target_next,ok,0.33666666666666667,101,0.33666666666666667,101,22609.894,57559.84,797284447206.0,1970935282501.0,1196405991.0,1.5006011909459411,0.4045208659486238,2766.0,0.0,11,1,5,1,0
EXIT=0
