cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,2124132,0,53,53
8,performance,3400000,3400000,3134719,0,53,53
9,performance,3400000,3400000,3124000,0,53,53
10,performance,3400000,3400000,3120932,0,53,53
11,performance,3400000,3400000,3121593,0,53,53
12,performance,3400000,3400000,1375820,0,53,53
13,performance,3400000,3400000,3125872,0,53,53
14,performance,3400000,3400000,3068573,0,53,53
15,performance,3400000,3400000,3100174,0,53,53
16,performance,3400000,3400000,3110778,0,53,53
17,performance,3400000,3400000,3134705,0,53,53
18,performance,3400000,3400000,3110043,0,53,53
19,performance,3400000,3400000,3300202,0,53,53
20,performance,3400000,3400000,3095962,0,53,53
21,performance,3400000,3400000,3400000,0,53,53
22,performance,3400000,3400000,3400000,0,53,53
23,performance,3400000,3400000,3127891,0,53,53
24,performance,3400000,3400000,3120373,0,53,53
25,performance,3400000,3400000,3152739,0,53,53
26,performance,3400000,3400000,3400000,0,53,53
27,performance,3400000,3400000,3400000,0,53,53
28,performance,3400000,3400000,3145217,0,53,53
29,performance,3400000,3400000,3390356,0,53,53
30,performance,3400000,3400000,3153747,0,53,53
31,performance,3400000,3400000,3135413,0,53,53
32,performance,3400000,3400000,2126571,0,53,53
33,performance,3400000,3400000,3120120,0,53,53
34,performance,3400000,3400000,3301024,0,53,53
35,performance,3400000,3400000,3125316,0,53,53
36,performance,3400000,3400000,3125460,0,53,53
37,performance,3400000,3400000,3146057,0,53,53
38,performance,3400000,3400000,3142476,0,53,53
39,performance,3400000,3400000,3149581,0,53,53
48,performance,3400000,3400000,3400000,0,53,53
49,performance,3400000,3400000,3400000,0,53,53
50,performance,3400000,3400000,3400000,0,53,53
51,performance,3400000,3400000,3244424,0,53,53
52,performance,3400000,3400000,3400000,0,53,53
53,performance,3400000,3400000,3400000,0,53,53
54,performance,3400000,3400000,3387471,0,53,53
55,performance,3400000,3400000,3400000,0,53,53
56,performance,3400000,3400000,3194354,0,53,53
57,performance,3400000,3400000,3165793,0,53,53
58,performance,3400000,3400000,3142397,0,53,53
59,performance,3400000,3400000,3173080,0,53,53
60,performance,3400000,3400000,3400000,0,53,53
61,performance,3400000,3400000,3152051,0,53,53
62,performance,3400000,3400000,3168852,0,53,53
63,performance,3400000,3400000,3126357,0,53,53
64,performance,3400000,3400000,3194103,0,53,53
65,performance,3400000,3400000,3400000,0,53,53
66,performance,3400000,3400000,3183414,0,53,53
67,performance,3400000,3400000,3400000,0,53,53
68,performance,3400000,3400000,3190599,0,53,53
69,performance,3400000,3400000,3155808,0,53,53
70,performance,3400000,3400000,3400000,0,53,53
71,performance,3400000,3400000,3400000,0,53,53
72,performance,3400000,3400000,3400000,0,53,53
73,performance,3400000,3400000,3400000,0,53,53
74,performance,3400000,3400000,3199428,0,53,53
75,performance,3400000,3400000,3400000,0,53,53
76,performance,3400000,3400000,3400000,0,53,53
77,performance,3400000,3400000,3400000,0,53,53
78,performance,3400000,3400000,3400000,0,53,53
79,performance,3400000,3400000,3400000,0,53,53
