variant,rep,elapsed_sec,instructions,cycles,l2i_misses,l2i_mpki,ipc,ghz,status
sret1k,1,263.914,609547577103,1002842601555,33753104802,55.3740,0.6078,3.7999,ok
sret1k_jmp2k,1,266.334,609531244687,1012278551693,33815167527,55.4773,0.6021,3.8008,ok
sret1k_jmp2k_condfar2k,1,266.012,609912009474,1011059016607,33829140501,55.4656,0.6032,3.8008,ok
sret1k,2,265.613,609526914272,1009544825156,33762880611,55.3919,0.6038,3.8008,ok
sret1k_jmp2k,2,266.347,609532906816,1012333239335,33804497552,55.4597,0.6021,3.8008,ok
sret1k_jmp2k_condfar2k,2,266.734,609917846691,1013806898733,33873450332,55.5377,0.6016,3.8008,ok
sret1k,3,265.487,609589794614,1009053990944,33740514222,55.3495,0.6041,3.8008,ok
sret1k_jmp2k,3,266.675,609532206227,1013574673525,33807100003,55.4640,0.6014,3.8008,ok
sret1k_jmp2k_condfar2k,3,266.527,609917583808,1013008685374,33788449644,55.3984,0.6021,3.8008,ok
