pid,tid,allowed_list,current_cpu,status
1632871,1632871,60,60,ok
1632871,1632873,61,69,ok
1632871,1632874,62,62,ok
1632871,1632875,63,71,ok
1632871,1632876,64,72,ok
1632871,1632877,65,65,ok
1632871,1632878,66,74,ok
