payload,variant,rep,elapsed_sec,instructions,cycles,l2i_misses,l2i_mpki,ipc,status
qsort,base,1,285.045,607227250777,1083358618693,35591934216,58.6139,0.5605,ok
qsort,static,1,275.417,631242103488,1046843350677,36067379195,57.1372,0.6030,ok
qsort,pgo,1,268.526,649150350711,1020636951315,33107438283,51.0012,0.6360,ok
qsort,base,2,284.449,607215269626,1081163267344,35595717693,58.6212,0.5616,ok
qsort,static,2,275.949,631371755366,1048865299752,36078242087,57.1426,0.6020,ok
qsort,pgo,2,269.084,649147503611,1022767954971,33142019623,51.0547,0.6347,ok
qsort,base,3,284.891,607213079427,1082842496182,35579336133,58.5945,0.5608,ok
qsort,static,3,275.375,631147118438,1046686980360,36073552944,57.1555,0.6030,ok
qsort,pgo,3,268.830,649217816748,1021803469202,33153105075,51.0662,0.6354,ok
