arm,rep,tps,lat95,mpki,ipc
install_base,1,899.99,47.47,45.15,0.587
install_nopB,1,877.14,48.34,35.93,0.720
install_injB,1,893.14,47.47,35.40,0.729
install_base,2,905.54,46.63,35.38,0.727
install_nopB,2,867.85,48.34,35.56,0.725
install_injB,2,871.20,48.34,35.66,0.731
install_base,3,900.58,47.47,35.15,0.729
install_nopB,3,883.68,48.34,35.40,0.723
install_injB,3,881.58,48.34,36.27,0.723
