cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,2125000,0,53,53
8,performance,3400000,3400000,3400000,0,53,53
9,performance,3400000,3400000,3400000,0,53,53
10,performance,3400000,3400000,3400000,0,53,53
11,performance,3400000,3400000,3266736,0,53,53
12,performance,3400000,3400000,3134978,0,53,53
13,performance,3400000,3400000,3121366,0,53,53
14,performance,3400000,3400000,3400000,0,53,53
15,performance,3400000,3400000,3116533,0,53,53
16,performance,3400000,3400000,3128723,0,53,53
17,performance,3400000,3400000,3143733,0,53,53
18,performance,3400000,3400000,3400000,0,53,53
19,performance,3400000,3400000,3146486,0,53,53
20,performance,3400000,3400000,3141653,0,53,53
21,performance,3400000,3400000,3115866,0,53,53
22,performance,3400000,3400000,3152003,0,53,53
23,performance,3400000,3400000,3154124,0,53,53
24,performance,3400000,3400000,3142301,0,53,53
25,performance,3400000,3400000,3102066,0,53,53
26,performance,3400000,3400000,3144289,0,53,53
27,performance,3400000,3400000,3400000,0,53,53
28,performance,3400000,3400000,3139686,0,53,53
29,performance,3400000,3400000,3271392,0,53,53
30,performance,3400000,3400000,3400000,0,53,53
31,performance,3400000,3400000,3129610,0,53,53
32,performance,3400000,3400000,3131759,0,53,53
33,performance,3400000,3400000,3132918,0,53,53
34,performance,3400000,3400000,3148839,0,53,53
35,performance,3400000,3400000,3129012,0,53,53
36,performance,3400000,3400000,3107445,0,53,53
37,performance,3400000,3400000,3112598,0,53,53
38,performance,3400000,3400000,3113914,0,53,53
39,performance,3400000,3400000,3242706,0,53,53
48,performance,3400000,3400000,3153612,0,53,53
49,performance,3400000,3400000,3176877,0,53,53
50,performance,3400000,3400000,3180436,0,53,53
51,performance,3400000,3400000,3400000,0,53,53
52,performance,3400000,3400000,3400000,0,53,53
53,performance,3400000,3400000,3166666,0,53,53
54,performance,3400000,3400000,3400000,0,53,53
55,performance,3400000,3400000,3400000,0,53,53
56,performance,3400000,3400000,2901983,0,53,53
57,performance,3400000,3400000,3180192,0,53,53
58,performance,3400000,3400000,3400000,0,53,53
59,performance,3400000,3400000,3128746,0,53,53
60,performance,3400000,3400000,3176226,0,53,53
61,performance,3400000,3400000,3400000,0,53,53
62,performance,3400000,3400000,3188534,0,53,53
63,performance,3400000,3400000,3229143,0,53,53
64,performance,3400000,3400000,3178846,0,53,53
65,performance,3400000,3400000,3204076,0,53,53
66,performance,3400000,3400000,3166666,0,53,53
67,performance,3400000,3400000,3400000,0,53,53
68,performance,3400000,3400000,3384937,0,53,53
69,performance,3400000,3400000,3016203,0,53,53
70,performance,3400000,3400000,3177689,0,53,53
71,performance,3400000,3400000,3201376,0,53,53
72,performance,3400000,3400000,3145254,0,53,53
73,performance,3400000,3400000,3322234,0,53,53
74,performance,3400000,3400000,3201719,0,53,53
75,performance,3400000,3400000,3164639,0,53,53
76,performance,3400000,3400000,3180494,0,53,53
77,performance,3400000,3400000,3150386,0,53,53
78,performance,3400000,3400000,3194698,0,53,53
79,performance,3400000,3400000,3170017,0,53,53
