variant,rep,elapsed_sec,instructions,cycles,l2i_misses,l2i_mpki,ipc,ghz,status
base,1,456.480,608183723716,912872332856,35458920628,58.3030,0.6662,1.9998,ok
sret1k,1,425.069,610387770052,850084402436,34030294381,55.7519,0.7180,1.9999,ok
base,2,457.298,608163719194,914540840889,35473150443,58.3283,0.6650,1.9999,ok
sret1k,2,425.089,610378206074,850126163547,34037003800,55.7638,0.7180,1.9999,ok
base,3,456.197,608157177589,912350377490,35451114495,58.2927,0.6666,1.9999,ok
sret1k,3,425.026,610380735590,849992917424,34051259619,55.7869,0.7181,1.9999,ok
