variant,rep,elapsed_sec,ghz
base,1,93.82,3.798
sret1k,1,87.08,3.800
base,2,93.75,3.800
sret1k,2,86.99,3.800
base,3,93.74,3.800
sret1k,3,86.86,3.800
heavy_pcond,1,76.17,3.796
heavy_scond,1,78.47,3.797
heavy_pcond,2,139.71,2.000
heavy_scond,2,146.96,1.999
heavy_pcond,3,139.76,1.999
heavy_scond,3,147.28,1.999
