cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,3400000,0,53,53
1,performance,3400000,3400000,2881440,0,53,53
2,performance,3400000,3400000,3073372,0,53,53
3,performance,3400000,3400000,3068782,0,53,53
4,performance,3400000,3400000,3385756,0,53,53
5,performance,3400000,3400000,3258225,0,53,53
6,performance,3400000,3400000,3077257,0,53,53
7,performance,3400000,3400000,2876396,0,53,53
8,performance,3400000,3400000,2876086,0,53,53
9,performance,3400000,3400000,2874936,0,53,53
10,performance,3400000,3400000,2876268,0,53,53
11,performance,3400000,3400000,2872241,0,53,53
12,performance,3400000,3400000,2875042,0,53,53
13,performance,3400000,3400000,2881059,0,53,53
14,performance,3400000,3400000,2875515,0,53,53
15,performance,3400000,3400000,3110714,0,53,53
16,performance,3400000,3400000,3091674,0,53,53
17,performance,3400000,3400000,2884786,0,53,53
18,performance,3400000,3400000,2877035,0,53,53
19,performance,3400000,3400000,2880225,0,53,53
20,performance,3400000,3400000,3104188,0,53,53
21,performance,3400000,3400000,2880290,0,53,53
22,performance,3400000,3400000,3362201,0,53,53
23,performance,3400000,3400000,1811486,0,53,53
24,performance,3400000,3400000,3125806,0,53,53
25,performance,3400000,3400000,3169676,0,53,53
26,performance,3400000,3400000,3162363,0,53,53
27,performance,3400000,3400000,3023261,0,53,53
28,performance,3400000,3400000,3028310,0,53,53
29,performance,3400000,3400000,3400000,0,53,53
30,performance,3400000,3400000,3354695,0,53,53
31,performance,3400000,3400000,3072299,0,53,53
32,performance,3400000,3400000,3079632,0,53,53
33,performance,3400000,3400000,2878360,0,53,53
34,performance,3400000,3400000,3076504,0,53,53
35,performance,3400000,3400000,3075142,0,53,53
36,performance,3400000,3400000,3054881,0,53,53
37,performance,3400000,3400000,3054228,0,53,53
38,performance,3400000,3400000,2883185,0,53,53
39,performance,3400000,3400000,3209221,0,53,53
40,performance,3400000,3400000,3188178,0,53,53
41,performance,3400000,3400000,3172806,0,53,53
42,performance,3400000,3400000,3044621,0,53,53
43,performance,3400000,3400000,3070741,0,53,53
44,performance,3400000,3400000,3164806,0,53,53
45,performance,3400000,3400000,3180344,0,53,53
46,performance,3400000,3400000,3169184,0,53,53
47,performance,3400000,3400000,3171672,0,53,53
48,performance,3400000,3400000,3148881,0,53,53
49,performance,3400000,3400000,3382702,0,53,53
50,performance,3400000,3400000,3173984,0,53,53
51,performance,3400000,3400000,3261344,0,53,53
52,performance,3400000,3400000,3157699,0,53,53
53,performance,3400000,3400000,3177731,0,53,53
54,performance,3400000,3400000,3211980,0,53,53
55,performance,3400000,3400000,3155118,0,53,53
56,performance,3400000,3400000,3194538,0,53,53
57,performance,3400000,3400000,3178773,0,53,53
58,performance,3400000,3400000,3165309,0,53,53
59,performance,3400000,3400000,3293591,0,53,53
60,performance,3400000,3400000,3189553,0,53,53
61,performance,3400000,3400000,3164954,0,53,53
62,performance,3400000,3400000,3183686,0,53,53
63,performance,3400000,3400000,3171416,0,53,53
64,performance,3400000,3400000,3400000,0,53,53
65,performance,3400000,3400000,3156414,0,53,53
66,performance,3400000,3400000,3174031,0,53,53
67,performance,3400000,3400000,3400000,0,53,53
68,performance,3400000,3400000,3400000,0,53,53
69,performance,3400000,3400000,3170256,0,53,53
70,performance,3400000,3400000,3337821,0,53,53
71,performance,3400000,3400000,3160328,0,53,53
72,performance,3400000,3400000,3157003,0,53,53
73,performance,3400000,3400000,3400000,0,53,53
74,performance,3400000,3400000,3178577,0,53,53
75,performance,3400000,3400000,3181283,0,53,53
76,performance,3400000,3400000,1287872,0,53,53
77,performance,3400000,3400000,3062985,0,53,53
78,performance,3400000,3400000,3170689,0,53,53
79,performance,3400000,3400000,3193688,0,53,53
80,performance,3400000,3400000,3143501,0,53,53
81,performance,3400000,3400000,3400000,0,53,53
82,performance,3400000,3400000,3171928,0,53,53
83,performance,3400000,3400000,3157313,0,53,53
84,performance,3400000,3400000,3148151,0,53,53
85,performance,3400000,3400000,3168873,0,53,53
