cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,3172697,0,53,53
1,performance,3400000,3400000,3400000,0,53,53
2,performance,3400000,3400000,2797074,0,53,53
3,performance,3400000,3400000,3400000,0,53,53
4,performance,3400000,3400000,3400000,0,53,53
5,performance,3400000,3400000,3400000,0,53,53
6,performance,3400000,3400000,3400000,0,53,53
7,performance,3400000,3400000,3400000,0,53,53
8,performance,3400000,3400000,3352213,0,53,53
9,performance,3400000,3400000,3338461,0,53,53
10,performance,3400000,3400000,3118990,0,53,53
11,performance,3400000,3400000,3400000,0,53,53
12,performance,3400000,3400000,3128496,0,53,53
13,performance,3400000,3400000,3119396,0,53,53
14,performance,3400000,3400000,3096208,0,53,53
15,performance,3400000,3400000,3400000,0,53,53
16,performance,3400000,3400000,3101248,0,53,53
17,performance,3400000,3400000,3400000,0,53,53
18,performance,3400000,3400000,3102700,0,53,53
19,performance,3400000,3400000,3400000,0,53,53
20,performance,3400000,3400000,3112142,0,53,53
21,performance,3400000,3400000,3120556,0,53,53
22,performance,3400000,3400000,3151848,0,53,53
23,performance,3400000,3400000,3400000,0,53,53
24,performance,3400000,3400000,3400000,0,53,53
25,performance,3400000,3400000,3400000,0,53,53
26,performance,3400000,3400000,3137159,0,53,53
27,performance,3400000,3400000,3116666,0,53,53
28,performance,3400000,3400000,3136846,0,53,53
29,performance,3400000,3400000,3127835,0,53,53
30,performance,3400000,3400000,3400000,0,53,53
31,performance,3400000,3400000,3123384,0,53,53
32,performance,3400000,3400000,3098853,0,53,53
33,performance,3400000,3400000,3137354,0,53,53
34,performance,3400000,3400000,3132709,0,53,53
35,performance,3400000,3400000,3142621,0,53,53
36,performance,3400000,3400000,3400000,0,53,53
37,performance,3400000,3400000,3162142,0,53,53
38,performance,3400000,3400000,3400000,0,53,53
39,performance,3400000,3400000,3400000,0,53,53
40,performance,3400000,3400000,3400000,0,53,53
41,performance,3400000,3400000,3400000,0,53,53
42,performance,3400000,3400000,3135114,0,53,53
43,performance,3400000,3400000,3174024,0,53,53
44,performance,3400000,3400000,3400000,0,53,53
45,performance,3400000,3400000,3139762,0,53,53
46,performance,3400000,3400000,3153080,0,53,53
47,performance,3400000,3400000,3163023,0,53,53
48,performance,3400000,3400000,3400000,0,53,53
49,performance,3400000,3400000,3400000,0,53,53
50,performance,3400000,3400000,3183969,0,53,53
51,performance,3400000,3400000,3400000,0,53,53
52,performance,3400000,3400000,3400000,0,53,53
53,performance,3400000,3400000,3400000,0,53,53
54,performance,3400000,3400000,3191843,0,53,53
55,performance,3400000,3400000,3191710,0,53,53
56,performance,3400000,3400000,3197363,0,53,53
57,performance,3400000,3400000,3175419,0,53,53
58,performance,3400000,3400000,3400000,0,53,53
59,performance,3400000,3400000,3289261,0,53,53
60,performance,3400000,3400000,3158611,0,53,53
61,performance,3400000,3400000,3149620,0,53,53
62,performance,3400000,3400000,3172925,0,53,53
63,performance,3400000,3400000,3153518,0,53,53
64,performance,3400000,3400000,3176092,0,53,53
65,performance,3400000,3400000,3132211,0,53,53
66,performance,3400000,3400000,3167467,0,53,53
67,performance,3400000,3400000,3400000,0,53,53
68,performance,3400000,3400000,3189982,0,53,53
69,performance,3400000,3400000,3153532,0,53,53
70,performance,3400000,3400000,3185960,0,53,53
71,performance,3400000,3400000,3168157,0,53,53
72,performance,3400000,3400000,3164922,0,53,53
73,performance,3400000,3400000,3174040,0,53,53
74,performance,3400000,3400000,3400000,0,53,53
75,performance,3400000,3400000,3173894,0,53,53
76,performance,3400000,3400000,3182728,0,53,53
77,performance,3400000,3400000,3297346,0,53,53
78,performance,3400000,3400000,3189228,0,53,53
79,performance,3400000,3400000,3166666,0,53,53
80,performance,3400000,3400000,3181085,0,53,53
81,performance,3400000,3400000,3400000,0,53,53
82,performance,3400000,3400000,3152170,0,53,53
83,performance,3400000,3400000,3400000,0,53,53
84,performance,3400000,3400000,3141129,0,53,53
85,performance,3400000,3400000,3400000,0,53,53
