run_index,label,duration,warmup,ib_min,ib_max,db_cores,server_cores,client_cores,uwsgi_worker_pids,transactions,elapsed_time_s,transaction_rate_qps,availability_pct,response_time_s,failed_transactions,load_generator,instructions,cycles,l2i_misses,l2i_mpki,ipc,context_switches,cpu_migrations,server_tids_audited,client_tids_audited,db_tids_partitioned,db_thread_policy,native_thread_policy,pinner_errors,perf_rc,audit_ok,valid
1,base,45S,20S,1000000,2000000,1-59,60-80,81-85,389939,294,45.0880572879978,6.520573688107454,100.0,0.15335789810871858,0,python-http.client-single-connection,30622720273,87290596372,2527214526,82.5274339924739,0.3508135073622063,5572,0,20,1,54,shared-disjoint-jvm-dependency,one-tid-per-physical-core,0,0,1,1
2,d4_next,45S,20S,1000000,2000000,1-59,60-80,81-85,436642,442,45.0163870519973,9.818646696134385,100.0,0.10184394452046357,0,python-http.client-single-connection,51657313090,85716952494,1804303728,34.92833095783457,0.6026499028137509,8701,0,20,1,54,shared-disjoint-jvm-dependency,one-tid-per-physical-core,0,0,1,1
